Date,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
Sat 1 Aug 2020,18,110,111,150,136,69,75,31,281,156,81,Pending,44,18,65,124,199,4,621,20,169,406,55,197,472,596,72,56,31,312,334,6,15,138,13,155,137,Pending,42,246,141,154,76,Pending,227
Sun 2 Aug 2020,15,126,85,207,131,91,80,46,247,195,62,,89,22,49,115,171,3,572,12,148,393,16,145,453,488,80,205,28,378,370,10,19,121,25,199,116,,53,302,181,166,74,,321
Mon 3 Aug 2020,16,390,454,230,512,121,201,34,870,604,204,,70,37,191,321,301,8,644,22,671,297,18,777,1392,712,94,277,26,1003,1090,9,34,264,24,208,377,,121,475,80,75,328,,423
Tue 4 Aug 2020,23,443,543,353,514,155,267,53,1019,682,250,,88,32,209,374,406,7,808,18,775,406,37,950,1628,972,136,357,40,1323,1409,12,36,300,36,234,445,,134,719,101,160,321,,461
Wed 5 Aug 2020,15,438,465,323,522,147,235,47,960,596,207,,75,44,185,349,326,7,1049,19,709,400,19,833,1492,839,120,306,38,1089,1292,8,30,289,34,223,439,,114,614,72,179,314,,404
Thu 6 Aug 2020,5,362,438,278,489,116,228,46,875,584,212,,80,30,187,277,341,6,920,14,659,293,30,758,1332,698,115,260,56,933,1125,14,28,292,38,211,371,,97,520,69,92,330,,392
Fri 7 Aug 2020,10,253,272,184,334,78,160,36,621,412,177,,58,14,137,193,310,9,949,6,453,212,21,549,937,424,118,181,26,629,803,8,19,207,13,134,320,,88,363,51,59,224,,267
Sat 8 Aug 2020,28,111,85,161,102,60,79,33,205,152,75,,34,6,41,98,232,9,502,23,147,256,29,142,345,315,78,182,27,296,541,9,9,110,7,105,96,,40,335,100,113,69,,213
Sun 9 Aug 2020,32,225,121,385,164,140,105,84,296,288,89,,73,31,37,122,376,12,656,42,343,494,13,328,670,1073,98,474,36,774,538,8,20,204,32,277,162,,125,607,223,349,97,,543
Mon 10 Aug 2020,18,362,414,206,506,93,236,34,809,567,209,,77,50,188,259,312,14,740,38,688,272,19,823,1323,686,122,246,36,946,1084,15,31,244,27,184,373,,117,368,70,69,281,,379
