,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
"Tuesday, 1 January 2019",36,168,63,192,98,82,,15,182,197,14,,43,16,32,168,232,,262,78,286,368,,257,505,566,247,542,37,1116,1119,12,29,86,30,155,104,1225,75,743,200,143,99,75,257
"Wednesday, 2 January 2019",29,280,58,343,132,93,,14,199,283,16,,78,12,39,183,331,,343,71,457,343,,310,562,591,304,482,48,1107,1207,9,40,203,24,198,145,1245,109,750,174,240,80,79,210
"Thursday, 3 January 2019",15,258,144,261,157,114,,10,330,251,37,,77,24,55,316,267,,281,69,361,347,,319,671,543,207,434,56,1048,673,16,32,150,34,193,207,1162,119,669,135,205,120,99,257
"Friday, 4 January 2019",23,281,149,263,151,101,,23,345,274,33,,85,24,87,336,240,,319,91,358,358,,335,644,489,276,386,45,1101,733,23,27,163,22,156,211,1125,114,768,124,187,145,65,211
"Saturday, 5 January 2019",42,235,110,317,173,143,,20,258,240,22,,76,28,51,242,350,,380,83,352,500,,266,626,744,234,405,49,1383,1119,7,30,150,47,232,170,1559,166,918,208,317,108,105,275
"Sunday, 6 January 2019",41,259,106,362,142,170,,11,256,300,16,,78,20,55,269,438,,415,65,360,488,,279,686,852,231,487,26,1435,1075,11,27,169,27,240,159,1607,147,722,198,358,100,77,303
"Monday, 7 January 2019",37,383,306,304,408,103,,31,658,499,48,,110,65,185,510,350,,358,17,635,333,,720,889,771,251,361,48,1654,1018,13,38,229,28,269,363,1561,179,787,210,125,238,146,281
"Tuesday, 8 January 2019",20,394,333,383,449,144,,26,661,568,61,,100,45,196,541,364,,419,43,728,366,,800,1292,934,211,345,59,1818,1129,22,43,248,28,254,400,1793,206,899,182,252,259,149,306
"Wednesday, 9 January 2019",2,407,305,328,406,126,,29,670,542,56,,102,58,191,570,363,,412,49,664,242,,757,1237,926,235,382,53,1775,1317,22,43,252,24,270,384,1707,188,915,154,197,254,159,273
"Thursday, 10 January 2019",7,358,294,364,455,122,,23,675,520,60,,86,54,199,542,283,,408,42,739,409,,806,1186,845,220,357,72,1881,1449,14,55,211,39,261,375,1731,212,897,199,183,283,174,270
"Friday, 11 January 2019",17,320,249,282,367,123,,39,567,467,58,,106,45,181,554,331,,365,55,582,328,,668,992,765,254,311,64,1477,1486,9,36,215,35,227,349,1485,164,924,150,109,228,161,261
"Saturday, 12 January 2019",21,254,106,311,153,177,,17,282,278,30,,76,38,72,274,327,,485,61,394,611,,339,616,761,233,411,49,1493,1123,11,39,194,50,267,168,1665,166,1006,181,292,94,81,276
