Date,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists,Westhaven Drive Cyclists
"Tuesday, 1 December 2020",39,365,412,206,405,120,312,30,767,507,98,Pending,58,41,189,Pending,294,24,202,21,634,266,35,813,1327,705,106,217,38,948,1212,15,53,297,38,197,335,Pending,119,404,123,82,280,Pending,422,711
"Wednesday, 2 December 2020",31,498,521,275,515,161,336,53,905,616,110,,74,45,230,,483,39,286,15,769,409,27,1026,1673,1134,171,290,70,1326,1636,12,52,351,58,302,363,,182,486,155,186,354,,542,959
"Thursday, 3 December 2020",4,380,494,180,469,111,303,40,817,521,115,,72,43,180,,314,19,312,8,694,312,19,876,1338,656,112,221,64,1007,1253,8,37,262,48,210,298,,110,352,80,109,296,,377,870
"Friday, 4 December 2020",12,401,351,188,385,134,293,69,725,478,94,,60,44,158,,362,18,288,11,573,290,26,758,1210,694,148,185,72,1009,1243,9,59,314,26,214,271,,106,522,78,109,295,,408,847
"Saturday, 5 December 2020",6,259,134,305,187,154,133,68,327,363,44,,68,35,89,,291,9,281,48,245,573,28,270,706,1047,181,287,38,731,806,5,37,180,15,213,161,,81,500,172,359,148,,421,905
"Sunday, 6 December 2020",15,205,108,310,194,152,128,54,324,282,48,,56,25,71,,320,6,237,53,296,528,20,308,720,903,138,431,32,933,909,14,41,182,16,290,143,,88,524,204,339,95,,503,1005
"Monday, 7 December 2020",22,479,444,223,490,103,297,34,896,576,89,,82,41,210,,319,16,230,7,733,330,28,901,1562,833,146,198,58,1193,1326,15,51,322,23,203,310,,142,392,120,118,338,,444,802
"Tuesday, 8 December 2020",22,524,486,252,509,148,361,57,910,631,92,,64,44,201,,394,25,243,6,783,308,36,950,1627,915,153,244,70,1327,1522,13,43,329,37,198,325,,137,525,84,164,318,,425,816
"Wednesday, 9 December 2020",6,482,457,230,469,119,313,44,926,596,101,,66,39,175,,343,30,285,28,696,319,45,922,1548,871,157,214,94,1210,1421,23,41,325,38,210,334,,124,477,81,150,332,,397,827
"Thursday, 10 December 2020",12,358,439,246,409,117,289,37,685,462,88,,64,38,196,,330,9,229,17,632,223,21,860,1230,561,118,158,76,985,1279,15,39,250,24,181,273,,107,492,107,78,310,,349,815
"Friday, 11 December 2020",5,391,388,263,423,115,315,36,730,481,87,,62,38,161,,307,11,266,25,587,333,64,761,1228,778,180,193,54,1045,1306,15,49,270,41,247,288,,129,547,91,116,275,,407,941
"Saturday, 12 December 2020",39,156,131,163,139,129,171,44,326,216,41,,74,35,87,,259,9,207,28,243,452,35,256,527,630,198,252,52,638,740,15,38,149,33,197,121,,62,454,124,332,105,,380,872
"Sunday, 13 December 2020",21,235,123,51,153,117,148,32,305,302,43,,60,18,63,,210,6,168,51,239,320,20,269,535,578,144,287,34,674,716,8,36,144,39,229,88,,62,510,194,278,107,,374,896
"Monday, 14 December 2020",32,489,465,176,520,112,343,59,898,599,105,,52,46,193,,339,19,225,14,808,313,40,971,1608,924,143,273,68,1335,1496,15,43,366,40,225,335,,130,598,97,156,334,,510,944
"Tuesday, 15 December 2020",34,490,515,409,509,153,342,43,1003,625,110,,64,44,203,,343,15,252,33,817,380,36,1056,1638,960,174,258,62,1401,1604,18,49,363,49,243,260,,119,645,145,193,318,,459,1053
"Wednesday, 16 December 2020",28,485,447,302,478,124,335,58,834,563,119,,70,27,209,,285,14,240,24,819,354,44,1073,1522,855,181,220,72,1254,1556,12,34,317,39,245,238,,140,650,137,158,326,,488,984
"Thursday, 17 December 2020",20,424,512,193,423,105,294,49,896,557,86,,54,37,213,,244,7,290,24,739,288,22,948,1379,816,183,221,70,1262,1630,21,39,313,32,195,190,,109,667,91,137,353,,413,1060
"Friday, 18 December 2020",30,378,390,261,372,115,317,77,721,452,96,,60,32,179,,208,2,229,37,572,244,21,782,1097,693,156,197,62,1304,1527,14,42,263,31,185,195,,101,580,82,124,298,,371,869
"Saturday, 19 December 2020",17,216,189,337,226,136,183,71,369,278,35,,50,17,89,,297,8,220,48,321,531,49,339,744,875,172,312,46,927,1086,11,34,193,27,163,107,,94,690,160,313,122,,388,880
"Sunday, 20 December 2020",31,215,153,377,172,136,154,32,354,284,47,,52,40,75,,246,4,223,17,305,493,19,377,652,955,160,374,74,1100,1110,12,31,207,23,212,96,,83,757,176,347,101,,421,941
"Monday, 21 December 2020",19,368,370,231,389,99,258,73,710,456,87,,68,48,179,,250,10,189,14,672,311,27,787,1217,786,152,183,66,1093,1160,16,49,286,41,210,171,,102,481,169,113,278,,475,697
"Tuesday, 22 December 2020",12,327,353,207,336,101,284,35,607,365,67,,74,42,165,,232,4,218,22,457,266,33,631,1005,672,150,199,60,949,1083,12,59,246,44,177,161,,77,475,92,137,275,,372,680
"Wednesday, 23 December 2020",15,271,224,230,290,90,242,40,492,291,59,,62,39,135,,246,9,227,13,381,248,34,503,832,694,154,203,86,870,927,15,43,198,45,142,148,,75,441,108,9,214,,307,707
"Thursday, 24 December 2020",4,145,124,112,102,75,120,6,286,163,18,,40,9,83,,118,5,132,20,133,170,38,186,379,337,93,175,28,413,503,11,27,138,23,110,71,,44,237,74,0,98,,262,553
"Friday, 25 December 2020",31,64,43,137,59,70,33,18,157,85,17,,18,15,29,,113,8,111,12,109,108,20,134,247,326,59,243,24,377,318,2,16,81,26,84,46,,36,211,139,0,44,,210,566
"Saturday, 26 December 2020",15,148,95,182,75,129,68,24,259,212,34,,32,16,47,,190,7,169,77,178,192,24,190,456,590,135,399,20,576,593,13,29,144,36,205,69,,60,455,279,0,64,,381,822
"Sunday, 27 December 2020",15,241,85,252,133,115,84,30,240,293,39,,58,26,55,,252,4,186,132,286,417,22,315,558,826,171,599,38,855,922,19,39,165,19,212,74,,82,544,282,285,115,,451,705
"Monday, 28 December 2020",26,156,111,202,127,131,104,42,212,225,41,,32,26,50,,230,12,170,97,278,216,29,291,589,639,181,604,28,818,827,15,36,154,5,170,68,,68,597,209,198,96,,420,777
"Tuesday, 29 December 2020",25,201,121,213,103,117,101,30,291,246,40,,40,14,58,,191,3,146,154,259,302,39,278,589,663,174,529,34,683,749,10,47,132,12,158,89,,62,504,239,124,110,,355,819
"Wednesday, 30 December 2020",27,182,127,218,139,121,102,37,340,243,46,,58,36,63,,221,7,140,110,235,289,36,290,534,694,171,479,36,773,887,19,33,154,13,200,91,,57,536,192,0,118,,417,891
"Thursday, 31 December 2020",18,186,112,223,150,91,94,59,295,200,38,,50,19,49,,217,16,154,99,228,322,55,275,527,611,171,491,28,761,888,19,38,135,38,185,73,,56,541,154,0,106,,391,633
