,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd  Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
Sat 1 Feb 2020,28,98,137,395,226,217,156,62,356,388,42,Pending,87,18,85,312,432,32,531,47,427,717,47,305,819,1040,252,558,84,1004,1027,13,29,183,27,300,216,1450,107,1069,179,411,160,161,340
Sun 2 Feb 2020,45,240,113,402,193,163,136,49,247,355,28,,80,33,78,231,416,26,470,32,404,609,37,310,789,1300,152,531,84,1028,1163,8,28,177,57,293,190,1489,107,1147,257,465,121,161,437
Mon 3 Feb 2020,21,490,449,370,633,156,370,45,881,737,104,,79,72,232,550,346,13,485,9,1164,452,33,828,1933,1172,174,411,73,1622,1033,10,60,319,47,307,430,1700,158,1662,164,177,331,119.8,386
Tue 4 Feb 2020,25,532,519,408,574,172,382,45,988,792,116,,85,64,245,581,523,24,588,10,1124,479,49,668,2103,1248,219,446,65,1624,1207,13,51,350,69,335,465,1866,171,1458,122,221,326,119.8,399
Wed 5 Feb 2020,37,517,440,349,565,159,349,42,877,751,110,,89,42,215,564,407,29,582,9,1004,400,65,1158,1861,1062,259,372,74,1498,1157,11,38,295,57,289,459,1685,165,963,127,157,354,119.8,329
Thu 6 Feb 2020,47,245,114,385,222,185,100,73,341,354,37,,113,24,62,251,188,36,449,74,452,559,33,364,890,1165,248,859,58,1192,981,14,45,188,45,345,179,1740,85,1426,343,461,144,119.8,427
Fri 7 Feb 2020,35,311,273,273,388,133,235,39,627,535,85,,80,20,166,473,210,34,505,16,715,350,33,771,1298,835,263,413,60,1203,1165,12,55,236,31,242,348,1470,102,1288,168,171,281,119.8,293
Sat 8 Feb 2020,20,135,137,372,188,189,112,97,320,286,36,,76,13,68,287,228,9,488,72,345,575,70,330,694,1128,199,491,45,886,819,16,26,142,23,257,203,1358,90,1271,255,310,153,161,307
Sun 9 Feb 2020,20,273,99,399,172,169,99,67,323,385,33,,99,16,59,291,208,10,469,29,354,666,24,307,798,1323,251,598,66,940,810,12,18,199,56,310,172,1495,95,808,253,389,111,161,404
Mon 10 Feb 2020,29,518,451,365,574,171,333,44,933,750,107,,105,62,264,547,200,38,527,17,1224,446,37,1293,2033,1245,180,367,84,1665,1666,10,57,316,51,321,475,1778,176,762,135,140,454,119.8,379
Tue 11 Feb 2020,27,569,531,426,646,177,367,51,1075,823,121,,93,71,232,576,229,31,614,24,1282,474,34,1415,2195,1308,218,438,82,1767,1761,16,55,319,56,359,501,1913,182,867,162,277,450,119.8,415
Wed 12 Feb 2020,31,509,453,431,618,148,342,59,953,787,133,,89,64,237,622,204,23,649,13,1188,467,46,1293,2074,1264,162,490,76,1823,1846,18,53,353,77,373,487,1989,178,1345,157,220,440,119.8,379
Thu 13 Feb 2020,32,502,470,423,583,178,373,48,999,817,114,,105,63,218,543,126,30,632,15,1139,388,39,1278,2073,1275,243,443,81,1636,1862,24,53,317,55,322,500,1906,180,1089,178,203,401,119.8,388
Fri 14 Feb 2020,30,419,385,399,520,158,357,53,854,678,119,,101,64,216,546,321,24,528,10,1023,388,50,1172,1738,1002,218,403,74,1453,1748,15,51,310,51,270,444,1655,154,891,122,144,370,119.8,329
Sat 15 Feb 2020,19,114,138,302,176,179,123,80,313,311,60,,82,39,89,290,385,17,509,47,353,569,40,316,652,869,255,388,68,830,872,12,25,155,30,311,184,1292,74,736,247,376,130,161,296
Sun 16 Feb 2020,25,234,125,349,194,114,141,67,308,362,27,,104,22,73,289,358,14,376,51,323,542,25,293,780,1182,217,513,76,953,911,12,33,163,43,277,182,1352,115,727,207,305,142,161,407
Mon 17 Feb 2020,7,505,447,362,642,147,388,42,951,921,125,,117,62,239,598,333,32,568,17,1231,439,32,1342,2090,1175,216,407,60,1552,1932,8,57,344,49,322,503,1743,175,919,106,156,426,119.8,374
Tue 18 Feb 2020,19,551,532,439,646,148,383,56,1042,841,115,,100,67,252,639,433,40,625,18,1242,434,44,1382,2242,1352,210,472,82,1645,1980,18,60,361,70,327,520,1945,188,1152,236,224,463,119.8,402
Wed 19 Feb 2020,19,503,480,412,644,192,343,53,1011,813,122,,101,71,226,614,405,34,631,1,1055,471,34,1289,2151,1331,209,408,78,1667,1893,8,72,339,82,315,537,1766,175,952,219,169,446,119.8,347
Thu 20 Feb 2020,22,496,493,419,621,162,381,48,983,781,122,,82,81,230,543,278,28,585,11,1109,514,31,1285,2039,1221,222,420,86,1576,1871,12,52,321,91,298,505,1866,166,899,120,192,399,119.8,384
