Date,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
Mon 1 Jun 2020,31,70,71,162,90,56,44,29,167,81,48,Pending,37,12,67,188,140,9,182,4,96,193,10,92,196,289,48,247,22,278,204,8,14,73,15,97,102,368,45,236,105,70,61,Pending,232
Tue 2 Jun 2020,20,296,315,227,351,142,187,47,614,382,131,,74,35,152,448,239,19,482,21,493,305,26,545,1013,688,106,324,68,865,723,12,40,254,25,205,281,1023,120,447,131,142,248,,405
Wed 3 Jun 2020,5,295,295,254,348,116,185,34,595,384,126,,59,36,144,414,323,23,535,18,501,362,13,557,706,659,98,301,67,947,795,9,36,236,24,214,260,1152,105,444,49,109,252,,384
Thu 4 Jun 2020,6,241,301,208,306,111,184,41,530,352,129,,80,27,136,394,214,21,383,5,375,250,14,483,821,494,88,257,53,659,625,11,16,184,12,150,249,Pending,95,363,33,69,197,,292
Fri 5 Jun 2020,14,214,234,220,283,106,161,43,487,257,98,,62,21,135,348,242,21,438,4,339,249,14,437,694,381,101,246,52,630,612,8,24,169,10,139,207,,86,324,24,80,196,,244
Sat 6 Jun 2020,33,185,138,313,137,214,94,75,319,282,77,,75,28,70,292,291,19,460,32,280,656,14,285,995,790,126,408,40,827,660,21,28,135,33,236,130,,67,614,157,351,100,,459
Sun 7 Jun 2020,18,259,136,398,168,164,84,75,340,384,53,,53,18,59,350,284,20,502,59,341,572,16,315,623,1155,113,584,33,861,618,13,20,215,37,346,135,,121,635,205,438,97,,669
Mon 8 Jun 2020,9,305,334,230,357,131,194,51,654,371,116,,70,41,137,392,279,31,439,21,532,315,22,567,552,654,76,298,60,866,781,14,36,238,32,157,270,,116,400,81,94,218,,348
Tue 9 Jun 2020,4,329,372,240,382,135,197,31,721,450,129,,65,38,153,448,297,13,485,11,568,305,14,629,842,683,109,303,39,981,901,16,29,245,40,218,297,,128,517,104,122,287,,422
Wed 10 Jun 2020,26,342,379,323,422,138,230,40,638,472,149,,72,32,166,478,320,22,566,27,616,370,31,712,736,906,80,329,42,1019,922,13,24,276,34,203,329,,135,537,108,157,288,,468
Thu 11 Jun 2020,10,338,409,282,365,145,272,43,784,461,127,,64,30,180,534,305,16,569,17,604,300,14,699,897,735,103,280,41,950,931,12,32,264,29,175,317,,125,482,66,110,307,,368
Fri 12 Jun 2020,5,296,339,226,343,118,212,45,656,371,120,,73,26,136,422,233,25,477,8,551,312,20,570,714,589,107,223,41,802,873,12,28,205,24,142,276,,88,438,79,84,206,,356
Sat 13 Jun 2020,23,165,151,302,175,154,106,39,338,245,97,,63,35,61,312,282,13,498,46,279,582,25,261,870,902,120,382,45,699,718,11,33,191,29,292,161,,97,703,138,310,107,,408
Sun 14 Jun 2020,25,263,121,412,165,150,84,82,379,382,81,,91,26,79,330,333,27,456,48,294,633,21,274,534,1076,100,452,31,763,781,12,31,203,29,344,171,,77,587,144,312,127,,535
Mon 15 Jun 2020,9,398,381,261,446,135,252,37,775,506,149,,86,41,200,482,358,18,518,19,711,359,13,808,557,804,110,336,47,1102,1350,13,40,308,37,230,321,,145,519,140,107,305,,470
Tue 16 Jun 2020,1,384,432,286,481,143,287,48,859,523,175,,86,40,180,562,323,16,509,13,711,387,10,849,937,829,110,305,53,1085,1286,14,30,293,67,194,359,,118,517,95,161,301,,431
Wed 17 Jun 2020,15,359,403,355,480,143,278,41,842,530,178,,83,35,204,542,425,18,552,33,748,340,23,827,795,915,99,357,53,1167,1417,14,30,324,48,225,335,,138,613,112,127,290,,279
Thu 18 Jun 2020,2,211,264,125,287,62,146,14,480,299,119,,47,13,130,308,217,13,265,5,415,174,14,521,957,317,62,133,44,552,687,6,17,139,13,84,186,,59,259,26,32,204,,165
Fri 19 Jun 2020,6,310,329,293,389,127,208,34,689,452,145,,57,48,160,472,268,19,583,10,482,277,13,614,659,618,82,327,50,880,1116,14,24,238,27,195,321,,102,546,97,115,271,,400
Sat 20 Jun 2020,24,179,195,388,185,194,118,50,403,305,98,,54,48,71,320,328,13,600,58,351,743,41,332,748,1003,134,459,46,846,945,17,43,205,73,305,188,,88,730,211,353,127,,527
Sun 21 Jun 2020,21,85,89,176,139,68,54,71,216,129,65,,67,12,43,206,126,3,237,18,167,277,27,145,371,422,50,215,23,383,350,6,18,95,32,187,104,,65,276,110,152,79,,283
Mon 22 Jun 2020,10,410,402,256,476,124,213,44,802,542,178,,81,38,200,474,285,20,1023,11,660,390,22,817,1298,792,98,279,46,1141,1286,7,31,286,29,189,354,,134,548,99,115,303,,111
Tue 23 Jun 2020,16,415,491,326,494,167,280,39,851,596,184,,79,56,179,566,385,13,545,14,731,352,23,863,1496,1000,107,274,53,1140,1361,16,37,289,36,221,347,,126,603,78,164,306,,344
Wed 24 Jun 2020,12,315,334,236,401,97,213,33,676,425,164,,70,21,173,414,264,17,421,6,629,299,18,755,1072,558,75,181,43,788,942,9,33,212,17,146,275,,78,411,44,70,222,,294
Thu 25 Jun 2020,8,250,307,161,374,81,214,29,586,361,137,,51,15,154,418,200,20,357,10,447,199,8,560,852,478,70,224,52,680,846,11,33,179,13,145,262,,87,382,43,55,225,,287
Fri 26 Jun 2020,6,285,304,232,359,99,235,27,635,362,162,,79,27,159,422,237,11,430,14,471,289,18,608,904,508,110,175,46,766,936,14,35,235,13,146,268,,67,424,47,56,233,,279
Sat 27 Jun 2020,7,49,42,87,63,48,58,17,150,79,70,,43,8,54,134,76,13,142,0,84,121,22,90,146,189,67,141,36,198,234,9,15,62,2,65,65,,19,154,47,48,53,,111
Sun 28 Jun 2020,12,184,90,296,128,143,73,33,252,223,88,,96,15,53,192,214,14,365,54,170,483,9,215,501,707,66,471,21,534,503,7,16,128,30,225,149,,52,407,109,302,80,,322
Mon 29 Jun 2020,1,298,295,144,371,88,173,23,618,405,138,,59,21,154,386,249,17,360,13,516,212,12,595,930,451,66,193,44,744,865,5,19,187,11,114,247,,65,324,46,43,215,,204
Tue 30 Jun 2020,8,359,377,260,417,124,212,38,748,497,167,,78,37,158,470,277,16,420,12,614,322,12,709,1263,709,125,287,49,954,1184,7,24,266,41,210,298,,112,469,56,133,237,,331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
