,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd  Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
Sun 1 Mar 2020,18,249,130,400,185,134,110,43,305,379,38,Pending,91,23,60,296,340,24,452,55,673,538,23,371,846,1129,201,555,57,964,962,23,30,147,53,258,195,1484,75,746,278,450,87,53,400
Mon 2 Mar 2020,14,569,463,334,672,132,387,51,1010,893,132,,53,62,217,582,386,36,513,16,1177,408,31,1256,2112,1078,239,278,65,1517,1836,16,63,378,48,264,574,1609,169,714,190,131,394,241,348
Tue 3 Mar 2020,18,552,549,401,692,143,394,59,1133,880,142,,37,65,275,665,430,33,571,6,1165,439,47,1332,2160,1170,189,392,74,1580,1829,7,45,356,59,297,613,1836,143,751,148,184,406,249,387
Wed 4 Mar 2020,22,474,426,361,597,125,320,40,952,737,108,,40,35,217,561,410,35,545,6,1038,382,26,1149,1762,945,151,320,81,1346,1682,7,22,351,40,250,505,1519,120,719,146,112,365,224,272
Thu 5 Mar 2020,14,497,466,381,602,159,401,46,965,846,127,,36,49,238,574,398,29,529,6,1031,389,77,1201,1959,1050,175,303,65,1438,1741,18,38,321,55,265,569,1579,144,738,155,128,389,238,263
Fri 6 Mar 2020,12,434,394,387,535,146,385,51,829,735,142,,49,34,205,527,363,33,483,24,998,429,44,1132,1790,1023,211,313,67,1392,1786,3,49,325,84,230,517,1519,153,891,135,111,344,211,295
Sat 7 Mar 2020,10,198,141,342,222,167,138,62,361,303,45,,27,21,86,301,354,23,471,52,363,632,84,330,844,1025,258,478,50,916,1018,6,34,174,78,279,245,1337,89,838,317,340,136,83,366
Sun 8 Mar 2020,19,226,138,391,171,172,159,72,330,322,52,,35,26,82,268,290,24,385,51,361,820,30,343,801,1192,205,574,56,637,852,8,25,199,108,286,213,879,120,661,255,349,112,69,377
Mon 9 Mar 2020,14,447,353,289,595,109,332,30,825,707,116,,27,49,218,509,308,24,410,4,1050,332,27,1095,1732,869,174,274,62,1274,1533,8,28,343,38,176,500,1394,122,592,69,86,354,217,276
Tue 10 Mar 2020,12,489,415,321,588,135,323,68,951,767,131,,39,50,219,526,323,37,429,9,1076,416,33,1167,1899,951,198,275,73,1378,1668,8,49,324,69,248,535,1585,136,696,265,137,432,265,277
