Date,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
Fri 1 May 2020,61,131,135,433,190,171,141,97,771,183,59,Pending,63,36,59,293,260,36,463,50,233,342,28,202,581,844,233,361,61,599,528,49,21,247,31,248,189,1052,113,37,245,174,87,Pending,315
Sat 2 May 2020,50,241,153,719,225,264,159,159,498,430,91,,60,29,72,402,366,29,646,43,402,760,18,325,873,1302,252,506,41,918,735,30,29,381,34,456,182,1649,203,103,359,441,95,,549
Sun 3 May 2020,33,25,36,119,60,55,28,16,113,50,30,,26,1,16,61,53,8,113,6,156,88,3,45,138,267,199,80,13,123,110,5,7,82,10,80,48,213,56,7,78,47,17,,114
Mon 4 May 2020,43,94,100,284,99,116,76,107,305,131,85,,51,22,49,222,150,16,345,25,140,204,17,134,410,451,215,261,35,390,309,29,14,219,27,164,131,652,89,13,173,80,56,,220
Tue 5 May 2020,15,91,87,175,110,85,75,60,296,101,81,,37,18,39,232,103,11,187,7,103,125,15,108,296,363,197,225,42,353,278,6,29,169,13,111,111,555,55,15,108,78,62,,118
Wed 6 May 2020,35,144,140,417,132,151,95,106,411,187,72,,69,38,51,306,209,16,447,22,147,342,32,191,568,726,189,372,53,618,371,17,29,262,30,215,186,853,106,15,299,185,83,,260
Thu 7 May 2020,29,133,119,355,142,189,95,83,354,202,71,,65,28,53,304,203,9,359,42,192,370,9,164,510,657,35,307,44,688,282,18,30,249,25,237,159,956,104,14,219,171,110,,229
Fri 8 May 2020,49,175,154,503,182,169,139,142,424,254,81,,79,35,76,372,216,9,486,33,331,348,34,225,613,718,52,412,56,785,380,24,34,274,39,281,190,1122,105,44,229,220,87,,343
Sat 9 May 2020,78,427,225,1192,302,390,256,186,612,721,121,,63,73,77,658,563,25,1050,99,887,1202,26,533,1478,2052,80,829,86,2173,956,44,73,547,57,695,291,2840,271,246,516,627,148,,807
Sun 10 May 2020,67,281,161,835,248,287,138,193,466,413,84,,62,47,56,468,440,32,742,70,658,867,32,399,987,1299,68,594,50,1253,588,30,37,465,36,466,215,1738,183,160,413,384,88,,556
Mon 11 May 2020,38,131,170,324,155,154,110,87,398,150,76,,56,36,68,294,185,19,350,19,263,280,16,185,551,672,39,327,67,537,308,11,33,219,28,230,176,810,120,28,193,136,79,,263
Tue 12 May 2020,31,104,125,298,129,134,98,93,357,149,76,,54,34,58,268,176,22,339,18,155,353,22,157,456,578,36,178,45,482,289,25,22,219,19,201,146,719,92,16,128,150,91,,195
Wed 13 May 2020,36,127,126,318,147,117,93,66,375,140,74,,54,36,52,362,177,12,343,14,171,302,12,189,497,674,50,298,67,592,367,22,40,222,26,228,183,817,98,16,155,108,89,,269
Thu 14 May 2020,32,153,201,318,202,157,131,72,493,214,62,,97,29,78,438,212,3,441,29,210,317,35,260,653,772,68,257,60,712,546,9,48,264,23,222,264,1042,120,302,277,174,153,,255
Fri 15 May 2020,31,197,198,361,221,123,186,64,456,223,75,,73,36,81,350,226,30,406,29,176,340,34,260,647,671,86,335,74,733,539,13,27,250,26,210,246,995,91,391,200,147,174,,202
Sat 16 May 2020,35,239,189,625,211,224,141,113,448,339,64,,86,58,75,364,362,30,611,104,296,885,32,384,919,1263,98,639,84,1127,881,23,50,326,51,356,228,1555,154,763,289,445,110,,684
Sun 17 May 2020,33,300,160,569,204,241,108,98,381,423,72,,83,39,58,388,385,21,682,68,337,944,18,385,859,1287,90,655,74,1261,999,29,38,288,59,438,194,1681,171,963,388,500,127,,833
Mon 18 May 2020,24,251,250,260,331,131,188,71,558,305,109,,64,28,150,448,267,35,511,13,344,354,19,465,941,788,98,341,59,845,721,22,32,243,24,232,299,964,138,408,157,120,233,,400
Tue 19 May 2020,21,267,308,322,378,137,190,54,667,364,120,,82,28,123,482,277,26,641,24,297,374,33,486,1081,882,114,386,72,940,779,20,24,297,28,213,341,1233,144,453,158,183,219,,434
