Date,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists,Westhaven Drive Cyclists
Thu 1 Oct 2020,47,398,425,365,432,133,260,54,729,538,184,Pending,102,44,144,Pending,342,7,396,34,650,384,15,793,1334,890,153,320,44,1024,1106,18,34,295,43,227,224,Pending,107,753,153,150,285,Pending,478,781
Fri 2 Oct 2020,20,335,300,297,318,116,253,54,637,401,161,,81,50,144,,298,11,349,39,452,307,26,561,974,597,109,269,48,876,944,21,33,206,39,214,208,,74,623,133,100,232,,420,715
Sat 3 Oct 2020,55,218,185,418,185,180,139,86,406,379,124,,71,30,92,,408,11,486,116,293,685,39,303,936,1147,190,445,54,1027,933,25,36,249,42,338,137,,111,788,266,382,146,,521,824
Sun 4 Oct 2020,38,228,155,400,154,159,109,62,364,369,97,,73,46,62,,438,9,479,96,314,635,22,279,731,1020,168,690,98,915,860,8,36,238,52,359,87,,118,781,308,388,110,,541,831
Mon 5 Oct 2020,38,380,375,341,405,134,238,44,771,511,204,,78,62,177,,300,6,364,41,626,374,50,784,1257,805,83,429,58,969,1130,19,31,300,50,192,241,,121,630,209,142,308,,475,688
Tue 6 Oct 2020,56,406,455,351,420,143,265,36,845,553,193,,87,57,176,,399,11,451,23,647,354,25,805,1449,916,134,281,56,1075,1213,20,42,325,56,253,270,,109,478,193,175,305,,467,763
Wed 7 Oct 2020,24,394,363,292,400,133,251,48,807,523,215,,76,51,173,,301,12,417,27,640,257,31,761,1280,777,144,262,44,1041,1159,18,28,284,66,187,231,,103,385,171,153,290,,380,865
Thu 8 Oct 2020,21,361,421,256,399,113,242,39,734,516,226,,72,39,179,,264,4,348,18,560,291,28,683,1198,727,138,234,56,932,1026,15,45,263,50,188,246,,82,453,138,114,289,,381,830
Fri 9 Oct 2020,27,311,310,221,337,91,206,36,669,356,202,,76,42,160,,229,5,318,43,466,236,28,574,916,491,149,123,54,564,763,12,26,209,43,147,220,,64,311,113,52,239,,316,778
Sat 10 Oct 2020,46,173,183,299,183,134,107,77,388,317,150,,70,53,61,,277,12,330,93,268,551,46,275,691,699,124,251,56,550,540,9,22,152,37,283,113,,64,379,175,265,101,,488,815
