Date,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists,Westhaven Drive Cyclists
Tue 1 Sep 2020,12,265,307,212,341,137,167,48,650,346,136,Pending,64,28,134,230,265,16,815,8,466,223,31,540,948,685,87,297,36,811,553,11,23,234,17,155,256,Pending,104,392,86,111,205,Pending,371,436
Wed 2 Sep 2020,19,218,291,163,309,126,162,34,616,306,125,,58,27,135,175,268,16,844,4,434,214,30,483,899,563,106,285,33,706,530,10,14,220,19,160,272,,83,299,71,67,177,,279,355
Thu 3 Sep 2020,11,241,331,231,331,121,177,50,681,365,151,,64,36,152,211,307,21,909,35,464,293,18,531,955,704,108,325,47,766,619,17,21,232,35,213,258,,105,411,115,139,215,,337,447
Fri 4 Sep 2020,4,267,256,278,346,139,165,70,594,339,142,,84,36,116,205,280,25,731,17,407,339,15,505,941,736,116,357,37,891,535,10,44,213,20,259,284,,118,508,110,140,186,,419,551
Sat 5 Sep 2020,27,227,123,390,201,188,103,76,364,335,110,,87,41,50,142,386,9,435,62,351,598,23,323,796,1126,128,401,44,775,1045,18,29,179,21,302,169,,98,697,219,448,104,,503,659
Sun 6 Sep 2020,24,163,78,266,110,116,79,49,222,252,69,,67,16,38,87,276,10,347,63,205,465,6,198,530,596,71,422,31,596,1025,5,20,152,27,220,98,,60,468,130,284,50,,438,519
Mon 7 Sep 2020,13,193,223,130,321,97,157,35,469,270,142,,45,27,137,169,229,16,342,8,463,243,14,483,766,462,84,220,31,540,623,5,19,155,15,143,248,,86,303,66,44,161,,247,329
Tue 8 Sep 2020,28,343,384,294,412,170,195,60,772,517,159,,76,46,153,234,372,18,581,35,627,352,29,681,1335,1015,120,408,38,1086,340,14,30,318,46,296,328,,146,571,125,242,221,,549,581
Wed 9 Sep 2020,14,306,363,275,376,152,206,55,710,437,175,,69,44,157,201,370,10,589,27,593,348,20,653,1247,865,114,334,46,940,977,9,26,255,26,266,334,,108,405,139,116,284,,439,546
Thu 10 Sep 2020,10,270,403,236,354,148,234,36,655,419,156,,87,25,159,192,277,16,490,30,537,265,25,609,1100,694,117,277,51,836,896,11,27,252,27,217,301,,112,412,90,91,226,,314,490
Fri 11 Sep 2020,30,245,312,210,323,139,208,34,624,339,154,,75,37,152,227,274,22,494,32,476,285,17,579,887,620,139,282,55,795,846,10,25,215,16,187,257,,100,450,144,103,211,,320,506
Sat 12 Sep 2020,36,257,176,520,188,214,129,107,447,446,93,,70,52,36,185,500,6,529,123,343,816,32,360,1006,1422,141,612,71,1062,969,24,46,238,67,392,230,,128,762,359,475,140,,706,765
Sun 13 Sep 2020,21,216,148,370,139,179,95,95,353,313,81,,66,21,40,126,335,10,501,64,313,559,20,253,754,1070,89,573,51,765,702,8,15,210,37,320,155,,113,567,309,504,94,,646,734
Mon 14 Sep 2020,22,277,329,169,386,115,216,39,651,375,166,,79,38,148,197,294,11,406,16,543,281,28,644,1075,624,81,289,48,778,763,10,13,230,27,172,278,,89,335,96,59,249,,337,556
Tue 15 Sep 2020,17,245,330,211,315,111,204,38,627,310,158,,58,28,140,215,264,9,405,15,528,184,27,591,963,492,105,199,42,676,730,10,17,205,20,150,236,,88,317,69,96,211,,341,555
Wed 16 Sep 2020,19,316,387,262,397,121,228,55,755,392,180,,74,60,169,203,303,22,419,11,576,283,33,651,1186,791,145,297,68,834,864,11,31,295,26,188,304,,127,426,151,105,258,,357,695
Thu 17 Sep 2020,16,362,384,255,403,151,214,68,724,463,165,,96,39,176,189,334,17,547,30,563,320,25,692,1227,814,128,287,63,944,995,8,28,298,39,226,280,,127,526,112,157,279,,405,710
Fri 18 Sep 2020,26,202,252,151,278,86,201,26,498,283,146,,64,27,132,186,262,13,333,11,370,227,19,475,710,427,99,153,39,553,601,7,15,175,19,128,217,,74,327,45,62,180,,241,506
Sat 19 Sep 2020,12,200,147,355,148,189,85,42,336,264,81,,73,27,52,233,297,4,395,58,280,519,22,264,651,791,153,338,38,642,626,21,32,179,33,207,178,,89,581,89,301,82,,365,638
Sun 20 Sep 2020,79,266,179,578,211,171,127,93,363,407,126,,61,65,44,163,353,11,555,74,354,733,19,347,993,1400,105,700,63,1012,932,13,33,298,34,420,175,,121,972,430,461,153,,740,891
Mon 21 Sep 2020,33,374,375,311,425,126,232,52,765,472,173,,92,50,184,173,392,22,466,10,653,337,17,775,1398,880,124,377,31,1052,1180,12,23,337,38,215,356,,152,631,139,117,310,,453,447
Tue 22 Sep 2020,32,404,473,333,467,158,280,61,899,583,227,,91,51,185,195,408,28,568,24,731,386,21,943,1564,1112,128,362,38,1180,1366,8,28,306,40,284,411,,152,696,141,197,322,,540,876
Wed 23 Sep 2020,27,401,444,320,427,152,261,60,879,455,202,,87,50,170,180,428,32,582,13,638,340,40,800,1455,955,135,349,29,1032,1250,7,35,291,36,220,367,,126,590,61,171,344,,416,777
Thu 24 Sep 2020,9,286,350,202,358,94,264,27,722,355,152,,81,26,152,188,282,22,423,10,520,233,17,628,1002,523,93,233,28,721,903,8,25,204,20,206,285,,103,503,33,78,235,,249,549
Fri 25 Sep 2020,10,340,361,353,361,114,233,57,710,460,172,,90,57,143,202,367,22,552,22,520,355,20,650,1117,786,144,318,24,931,1064,5,29,234,26,235,303,,119,786,126,142,256,,433,679
Sat 26 Sep 2020,93,261,200,559,212,193,128,65,414,413,110,,75,38,69,216,399,25,532,90,398,727,35,371,1034,1347,109,443,23,941,868,16,31,247,44,411,193,,119,924,257,453,143,,622,974
Sun 27 Sep 2020,18,65,58,87,97,30,60,16,122,85,59,,53,10,48,149,99,6,150,13,85,108,6,94,208,232,48,105,5,210,228,1,23,60,4,438,75,,23,193,72,41,38,,228,356
Mon 28 Sep 2020,30,272,318,179,337,79,191,34,588,330,148,,66,29,140,189,230,10,247,15,432,158,15,559,832,466,84,190,25,619,702,12,35,192,20,195,253,,65,434,133,56,204,,326,619
Tue 29 Sep 2020,12,235,278,128,257,65,175,14,525,268,156,,60,23,123,220,178,4,204,5,374,107,30,494,681,342,64,80,12,468,620,11,14,164,33,237,178,,55,296,81,27,182,,240,561
Wed 30 Sep 2020,43,349,381,233,363,96,209,40,729,455,162,,54,28,149,193,368,15,390,30,551,282,38,656,1157,720,109,260,28,786,903,17,13,232,27,220,212,,93,526,127,129,245,,374,697
